date,city,precipitation,month,year
6/19/2020,NYC,0,6,2020
6/20/2020,NYC,0,6,2020
6/21/2020,NYC,0,6,2020
6/22/2020,NYC,0,6,2020
6/23/2020,NYC,0,6,2020
6/24/2020,NYC,0,6,2020
6/25/2020,NYC,0,6,2020
6/26/2020,NYC,0,6,2020
6/27/2020,NYC,0.25,6,2020
6/28/2020,NYC,0.52,6,2020
6/29/2020,NYC,0.02,6,2020
6/30/2020,NYC,0,6,2020
7/1/2020,NYC,0.06,7,2020
7/2/2020,NYC,0,7,2020
7/3/2020,NYC,0.42,7,2020
7/4/2020,NYC,0,7,2020
7/5/2020,NYC,0,7,2020
7/6/2020,NYC,0.03,7,2020
7/7/2020,NYC,0,7,2020
7/8/2020,NYC,0.02,7,2020
7/9/2020,NYC,0,7,2020
7/10/2020,NYC,2.33,7,2020
7/11/2020,NYC,0.04,7,2020
7/12/2020,NYC,0,7,2020
7/13/2020,NYC,0,7,2020
7/14/2020,NYC,0,7,2020
7/15/2020,NYC,0,7,2020
7/16/2020,NYC,0,7,2020
7/17/2020,NYC,0.1,7,2020
7/18/2020,NYC,0,7,2020
7/19/2020,NYC,0,7,2020
7/20/2020,NYC,0,7,2020
7/21/2020,NYC,0,7,2020
7/22/2020,NYC,0.69,7,2020
7/23/2020,NYC,0.05,7,2020
7/24/2020,NYC,0.35,7,2020
7/25/2020,NYC,0,7,2020
7/26/2020,NYC,0,7,2020
7/27/2020,NYC,0,7,2020
7/28/2020,NYC,0,7,2020
7/29/2020,NYC,0,7,2020
7/30/2020,NYC,0,7,2020
7/31/2020,NYC,1.07,7,2020
8/1/2020,NYC,0,8,2020
8/2/2020,NYC,0,8,2020
8/3/2020,NYC,0.13,8,2020
8/4/2020,NYC,0.12,8,2020
8/5/2020,NYC,0,8,2020
8/6/2020,NYC,0.03,8,2020
8/7/2020,NYC,0.36,8,2020
8/8/2020,NYC,0,8,2020
8/9/2020,NYC,0,8,2020
8/10/2020,NYC,0,8,2020
8/11/2020,NYC,0,8,2020
8/12/2020,NYC,0.5,8,2020
8/13/2020,NYC,0.01,8,2020
8/14/2020,NYC,0,8,2020
8/15/2020,NYC,0,8,2020
8/16/2020,NYC,0.29,8,2020
8/17/2020,NYC,0.06,8,2020
8/18/2020,NYC,0.07,8,2020
8/19/2020,NYC,0.35,8,2020
8/20/2020,NYC,0,8,2020
8/21/2020,NYC,0,8,2020
8/22/2020,NYC,0,8,2020
8/23/2020,NYC,0,8,2020
8/24/2020,NYC,0,8,2020
8/25/2020,NYC,0.08,8,2020
8/26/2020,NYC,0,8,2020
8/27/2020,NYC,0.69,8,2020
8/28/2020,NYC,0.03,8,2020
8/29/2020,NYC,0.1,8,2020
8/30/2020,NYC,0,8,2020
8/31/2020,NYC,0,8,2020
9/1/2020,NYC,0.2,9,2020
9/2/2020,NYC,0.07,9,2020
